commentCount,dislikeCount,etag,favoriteCount,id,likeCount,viewCount
293,82,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/OI5mSoIF-WkXVpRkMey1YZtSKE0""",0,GhOGZMpPUSE,3066,375170
2971,391,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/ebDIBckgHcrxp0pZ-_JZDy5nqY4""",0,pw5ETGiiBRg,18617,2360645
1270,104,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/8hIP7ulvEUe2L3E6p34Cp-0L4g8""",0,lzODyJS2ZIg,12486,434478
155,29,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/mf1VVeExY2CZ-plwx4GFxaLooTM""",0,UUNNXGVNTuI,1293,140363
119,18,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/mJY3OuJbRRcVcOrwEq9JUJzDLgo""",0,QxcS7p1VHyQ,1229,129207
428,101,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/3sgvaTaBvoFgakkTjbrC3_itr_Q""",0,Hq-z06i6HCs,4465,367481
362,37,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/YY8KTltA6pB0c3UmOXqWGYcWbek""",0,jwVz0uTLH1I,1911,185161
8969,1024,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/ORjQ4JmCAkzdkDZeueAi8gNt16o""",0,dNEp3hoHSDI,52596,4058748
274,18,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/XM6cHvQwwMLjgQQpngohwkSN1AY""",0,FozIp7Va7dY,1350,119830
310,36,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/3lgNJm80Ug9bnkPejV9wynKmtYk""",0,5rfGa1_iJpw,1771,212002
275,29,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/yPNK7sOIOZk8Huqpi6L8eywXFv4""",0,C-OSaHvt8ms,1651,163297
225,37,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/YtLE2KP6jRMfyzZOb_ixehp5IKw""",0,BSjee-ond7w,2052,187960
291,38,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/BMDalRUVVE8JfxPs3Lhh9bvmfy0""",0,loAzRUzx1wI,3140,350848
126,13,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/RaJv6bdmogLvABM5l_x8n9V56_8""",0,xdFCj6BzQio,1090,125866
399,151,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/WEdcYKOyQC_jgnEnZ0GMArmLrUY""",0,NcVeRlPu_5w,4560,619060
274,28,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/2ESYz5axQi_EwNBmIY1E6baTbHA""",0,GARWowi0QXI,2405,229039
206,32,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/lhVq44AfJixqQ0_XdymiMG_BSI4""",0,E3XW_Zp238U,1423,158607
515,95,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/ktP4h6YMNXKCuQKI_y2DDMFc8iU""",0,USkduOfwJok,6834,423720
128,24,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/-SfqVAtkQ0S3nABhZkZKEMWttIY""",0,0M9pwLHRR2c,1290,149508
244,20,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/JlgoJr-ZoqGs-BGi3qZ9_Mya2L0""",0,-O0Bs65eN5w,1445,155737
161,15,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/SsO0AomBEH8krHgAfkWwhnYrQkE""",0,rzYpa4XGSnA,1167,93632
399,66,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/96cVZ116Er155FScxR1YnmgvVzc""",0,KvJmSrErm20,3205,269014
170,24,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/ijlNoHc_-7qFc6TBWhmUOz3GCaw""",0,CigXQtT6BPM,1259,142275
220,16,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/JGkzGMOcwcJPhYIKXFUEybKyuSs""",0,2XnIdinwot0,1181,75352
221,13,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/Q3F008TGaYF0nIcRQyoJfCU-jLg""",0,FnY7jDY5PsE,1074,65650
158,14,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/0FpZPOrN5e9T7wcQmkc2bzYcp9k""",0,lLunPQBzW6g,1147,94855
318,75,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/zx-MHjKhYBVhNeBByEaJ_OkcWEo""",0,HWedDS3p7XI,2490,258151
135,17,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/4uCgj_lGpXr1_DhQhIBvdJw36II""",0,HqBhCibidNM,999,94865
243,33,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/qvArfky_eK8Quv1sZaPiNX7Gors""",0,mb-Gwx1S5Gs,1462,125389
340,40,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/-sxJEJF21A4xaeK7LzzImf4evx8""",0,TLX1bmS8wBE,2767,176399
171,12,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/rWfcTTqLt7ob6ISu1mRBwxXE2GE""",0,SLQXlFLoqQc,760,54154
235,22,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/oAWJYNAOWyjXS_N2bLYFUr4dNEo""",0,DmYhNHVIdMI,1330,126338
274,88,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/UR1hiPqbRGyEeDKywC9nVSJCMKU""",0,H15kV1wbDG4,2298,346222
131,10,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/zWiVxaCkIHAiEJUKQgvwfRRkuUc""",0,uj5FE70BcB0,830,60657
232,37,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/_LPTFGg1yTcSCwwcYEVsG1HuXYQ""",0,NjTlW2NL1Lo,1353,157651
1329,196,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/uo4ZHVgZLc8buT1r7KugZa6iI3A""",0,XZmdzfvXRuw,10355,1248689
162,20,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/cz5cLOX1EcEd70JMYQmv0W5C47k""",0,rE5ZVs_YJfE,1522,138729
166,12,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/9gJBG1Ae8A98213rutorgkI1ICI""",0,kQlFwTOkYzg,1525,161395
144,41,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/43W-37kXwjF4Elb5qzH0HvmfAh0""",0,9jIt95PCFAA,1703,290310
71,11,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/hdG5uwoIOYCRhq5TY531kMdusbc""",0,JGzTg8fCj4w,700,71144
207,25,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/ZuJJtv0jHmEYGPPmazCRZ6cMilM""",0,81QKellPA70,1773,191896
163,16,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/oVLvOyAdlkgliOogf61oK3LxcYo""",0,H4GyGrT7lEQ,1181,97312
334,32,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/g_dzXItQ1LdIZ5RHKOxMsx2dyXw""",0,loit61vLUMc,2754,272394
456,48,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/SaNPb7LMarsCrN2iy1Uvjl1FdJE""",0,miJ19Kz_i3Y,2732,314558
145,21,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/v3AyVNarJN8ypldJeZhHpLsYpaQ""",0,PbchoOWWCZs,1600,143978
215,26,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/1L0unL6rlvP1etUWVx1gykgzqQw""",0,hP4GfMgsNVE,1713,150598
182,13,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/qmbLeLNTstHq0NsmAG6XS5PiaFo""",0,EVfPPJ5FUmA,966,90697
149,18,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/YWSCTzWu3_VD34wgZHRgfLtNCWE""",0,urHQRbRNuYI,1424,103092
229,16,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/SztBzbboCHTzrZAGS9fxBSprQrE""",0,JLnIUGOupOA,1033,74993
214,18,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/yrpcTNX4x1OIL0OIAadTDRRJCYU""",0,liR0gS0sZY0,1448,175058
91,14,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/osMknQnqx3NgLRCgrupyMDCxtNo""",0,m6UM-rN2D6s,1074,141781
199,24,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/5qCvLMt8W-N1zPRr841HnDw1yr4""",0,gxd0MPX8c6I,1445,113421
447,44,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/BDW_Stwj65_tnSJnJsy0xMHiDCs""",0,_kkZcIgocBM,2584,208899
