id,title,viewCount,likeCount,favoriteCount,dislikeCount,commentCount,episode_title,season_num,episode_num
C7dLyIuzmv4,Bob Ross: The Joy of Painting - A Thin Paint Will Stick to a Thick Paint,113086,119,0,8,17,,,
aJVD_4EvZuU,Bob Ross: The Joy of Painting - A Windblown Road,85931,80,0,5,5,,,
5JIdvHQagU4,Friends of Bob Ross: Velma Bartlemay - Mauve Roses,24240,111,0,5,10,,,
xfF6sr5OaOc,Bob Ross: The Joy of Painting - An Oval Vignette,73217,163,0,11,12,,,
u66x4GDe4rc,Bob Ross: The Joy of Painting - Arms on the Tree,39747,74,0,3,2,,,
IA9GHFN1jZ8,Friends of Bob Ross: Marilyn White - Seascape,4513,7,0,0,0,,,
1RCD0WOkFgA,Bob Ross: Wildlife Painting with Bea Cox,16936,44,0,3,2,,,
N01RHIjVpaM,Bob Ross: The Joy of Painting - These Big Trees Come in Threes,40375,105,0,2,4,,,
oQj-1dY2XeA,Bob Ross: The Joy of Painting - Follow the Lay of the Land,358846,264,0,10,17,,,
nPu-VET2dH4,Friends of Bob Ross: John Thamm Workshop,6629,25,0,2,2,,,
jdy-Qnkwquk,Friends of Bob Ross: Velma Bartlemay - Pink Roses,59846,152,0,15,9,,,
_SL5ua0yP-w,Bob Ross: Wildlife Painting with Bea Cox - Giant Panda,17110,48,0,5,0,,,
_-QLPsOM2kI,Bob Ross: The Joy of Painting - A Happy Little Wave,19982,80,0,1,5,,,
TQ4AAR8F2m4,Friends of Bob Ross: Robert Landry - Late Evening,3667,12,0,1,1,,,
OUjvorUjJIQ,Friends of Bob Ross: Kathy Snider - Chrysanthemums,2709,5,0,0,1,,,
5VDcW6nxXX4,Friends of Bob Ross: Robert Landry - Sunset Beach,3800,10,0,1,5,,,
_OlzlNJs_2s,Friends of Bob Ross: Dorothy Dent - Snowy Woods,4276,12,0,1,0,,,
yKm41JXqXp4,Friends of Bob Ross: Dorothy Dent - Joy of Country Painting,12256,36,0,4,0,,,
2W7UcgXQp9I,Friends of Bob Ross: Beebe Hopper - Mallards,3261,12,0,0,0,,,
hdAv1ICmjPE,Friends of Bob Ross: Ferne Sirois - Clown Conductor,4352,20,0,0,2,,,
jvmBQGWOSb8,Bob Ross: The Joy of Painting - Instant Reflections,59905,117,0,11,6,,,
lSk_xwID39o,Bob Ross: The Joy of Painting - Snow on the Mountains,59164,96,0,1,1,,,
eHglOflhoxc,Friends of Bob Ross: Kathy Snider - Orchids,4074,11,0,0,0,,,
J0cnJNIlJUw,Bob Ross: The Joy of Painting - Changing the Flavor,27416,54,0,2,3,,,
39usF1HDSJc,Bob Ross: The Joy of Painting - Snow in the Forest,43965,62,0,1,4,,,
5eNfmCkH2_E,Bob Ross: The Joy of Painting - Almighty Mountains,93610,103,0,8,14,,,
13E_oknlQno,Bob Ross: The Joy of Painting - An Old Wiggledy Tree,43956,63,0,5,6,,,
Gz8wVnwCJUA,Friends of Bob Ross: Betty Denton - Blossoms & Spring Dawn,2868,12,0,0,0,,,
aIH7_bS2C4c,Bob Ross: The Joy of Painting - One Big Tree,83880,82,0,8,7,,,
ApufRnxtBag,Friends of Bob Ross: Zoltan Szabo - Icy Waters,5011,12,0,3,1,,,
z5shjCWzXuE,Bob Ross: The Joy of Painting - A Winter Tree,35960,52,0,2,4,,,
fhyklXr6JQc,Friends of Bob Ross: Beebe Hopper - Canvasbacks,3361,12,0,0,0,,,
bthdF9HSupU,Friends of Bob Ross: Georgia Feazle - Chrysanthemums,2903,10,0,0,0,,,
Gk_-OLC0FZs,Friends of Bob Ross: Betty Denton - Day Lilies,3562,11,0,0,0,,,
livwrYg2LwU,Friends of Bob Ross: Art Kerner - Birch Haven,3955,8,0,0,1,,,
4m4mRMWmtVY,Friends of Bob Ross: Georgia Feazle - Hot Air Balloons,2813,10,0,0,0,,,
OoDd3Z6oM-A,Friends of Bob Ross: Jo Tarabula Workshop,3322,7,0,0,0,,,
tdTuDnMNyrA,Friends of Bob Ross: Dorothy Dent - Joy of Country Painting 2,6149,22,0,1,1,,,
IBFeDo9SsAA,Bob Ross: The Joy of Painting - Shimmers Across the Water,145402,198,0,26,14,,,
qD5IRc3BB-M,Friends of Bob Ross: Dorothy Dent - Old Covered Bridge,7324,22,0,2,8,,,
KVfjyxA2fME,Bob Ross: The Joy of Painting - One Wild Day,25370,47,0,3,3,,,
swyg__B-QJg,Friends of Bob Ross: Zoltan Szabo - Rocky Coast,3515,4,0,1,0,,,
dUCN7UTkukM,Friends of Bob Ross: Jo Tarabula - Vignettes,2939,7,0,0,0,,,
_8orqS6TGcw,Friends of Bob Ross: Georgia Feazle - Grammy Goose,2881,7,0,0,0,,,
LzH1WqBwjW0,Friends of Bob Ross: Georgia Feazle - Pride of the Jungle,2811,7,0,0,0,,,
7yB1-pkEd50,Friends of Bob Ross: Velma Bartlemay - Chrysanthemums in Clay Pot,12731,36,0,3,5,,,
iLiMzMKiKo8,Friends of Bob Ross: Fred Rowe - Room with a View,3379,4,0,0,1,,,
_UUwS2ERDYE,Friends of Bob Ross: Kathy Snider - Spring Floral Butterfly,6204,19,0,5,0,,,
